pmid,status,title,journal,year,missing_kind,path
15771276,incomplete,Tissue ablation with irreversible electroporation.,Annals of biomedical engineering,2005,paywalled,corpus/by-pmid/15771276.md
24561446,incomplete,Thermal ablation of tumours: biological mechanisms and advances in therapy.,Nature reviews. Cancer,2014,paywalled,corpus/by-pmid/24561446.md
25367011,incomplete,Emerging HIFU applications in cancer therapy.,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",2015,paywalled,corpus/by-pmid/25367011.md
25787829,incomplete,Stage III pancreatic cancer and the role of irreversible electroporation.,BMJ (Clinical research ed.),2015,paywalled,corpus/by-pmid/25787829.md
26258317,incomplete,Treatment of 200 locally advanced (stage III) pancreatic adenocarcinoma patients with irreversible electroporation: safety and efficacy.,Annals of surgery,2015,paywalled,corpus/by-pmid/26258317.md
26486350,incomplete,"Sonodynamic Therapy: Concept, Mechanism and Application to Cancer Treatment.",Advances in experimental medicine and biology,2016,paywalled,corpus/by-pmid/26486350.md
28829584,incomplete,Two-Dimensional Graphene Augments Nanosonosensitized Sonocatalytic Tumor Eradication.,ACS nano,2017,paywalled,corpus/by-pmid/28829584.md
28918265,incomplete,Amorphous liquid metal electrodes enabled conformable electrochemical therapy of tumors.,Biomaterials,2017,paywalled,corpus/by-pmid/28918265.md
29613770,incomplete,Nanoenzyme-Augmented Cancer Sonodynamic Therapy by Catalytic Tumor Oxygenation.,ACS nano,2018,paywalled,corpus/by-pmid/29613770.md
29978216,missing_file,,,,missing_file,corpus/by-pmid/29978216.md
30734370,incomplete,Platinum Nanoparticles to Enable Electrodynamic Therapy for Effective Cancer Treatment.,"Advanced materials (Deerfield Beach, Fla.)",2019,paywalled,corpus/by-pmid/30734370.md
31413923,missing_file,,,,missing_file,corpus/by-pmid/31413923.md
31712683,incomplete,Synthetic lethality as an engine for cancer drug target discovery.,Nature reviews. Drug discovery,2020,paywalled,corpus/by-pmid/31712683.md
33064322,incomplete,Recent Advances in Nanomaterial-Assisted Combinational Sonodynamic Cancer Therapy.,"Advanced materials (Deerfield Beach, Fla.)",2020,paywalled,corpus/by-pmid/33064322.md
33122099,incomplete,Sonodynamic therapy-derived multimodal synergistic cancer therapy.,Cancer letters,2021,paywalled,corpus/by-pmid/33122099.md
33387088,incomplete,"Cryoablation, high-intensity focused ultrasound, irreversible electroporation, and vascular-targeted photodynamic therapy for prostate cancer: a systemic review and meta-analysis.",International journal of clinical oncology,2021,paywalled,corpus/by-pmid/33387088.md
33840627,incomplete,Thermal Ablation as an Alternative for Surgical Resection of Small (≤ 2 cm) Breast Cancers: A Meta-Analysis.,Clinical breast cancer,2021,open access,corpus/by-pmid/33840627.md
34027953,incomplete,Engineering nanomedicine for glutathione depletion-augmented cancer therapy.,Chemical Society reviews,2021,paywalled,corpus/by-pmid/34027953.md
34051178,missing_file,,,,missing_file,corpus/by-pmid/34051178.md
34655115,incomplete,2D Piezoelectric Bi2 MoO6 Nanoribbons for GSH-Enhanced Sonodynamic Therapy.,"Advanced materials (Deerfield Beach, Fla.)",2021,paywalled,corpus/by-pmid/34655115.md
35419607,missing_file,,,,missing_file,corpus/by-pmid/35419607.md
35440726,incomplete,Targeting the gut and tumor microbiota in cancer.,Nature medicine,2022,paywalled,corpus/by-pmid/35440726.md
35699224,incomplete,Piezotronic Effect-Augmented Cu2-xO-BaTiO3 Sonosensitizers for Multifunctional Cancer Dynamic Therapy.,ACS nano,2022,paywalled,corpus/by-pmid/35699224.md
36059065,incomplete,An insight into therapeutic efficacy of heterocycles as histone-modifying enzyme inhibitors that targets cancer epigenetic pathways.,Chemical biology & drug design,2022,paywalled,corpus/by-pmid/36059065.md
36253536,incomplete,Targeting the gut microbiota for cancer therapy.,Nature reviews. Cancer,2022,paywalled,corpus/by-pmid/36253536.md
36631681,incomplete,Therapy with oncolytic viruses: progress and challenges.,Nature reviews. Clinical oncology,2023,paywalled,corpus/by-pmid/36631681.md
36933770,incomplete,Combination immunotherapy for hepatocellular carcinoma.,Journal of hepatology,2023,paywalled,corpus/by-pmid/36933770.md
37657460,incomplete,"Tumor Treating Fields therapy with standard systemic therapy versus standard systemic therapy alone in metastatic non-small-cell lung cancer following progression on or after platinum-based therapy (LUNAR): a randomised, open-label, pivotal phase 3 study.",The Lancet. Oncology,2023,paywalled,corpus/by-pmid/37657460.md
38064417,incomplete,"A ""One Arrow Three Eagle"" Strategy to Improve CM-272 Primed Bladder Cancer Immunotherapy.","Advanced materials (Deerfield Beach, Fla.)",2024,paywalled,corpus/by-pmid/38064417.md
38363528,incomplete,The Future of Gene Therapy: A Review of In Vivo and Ex Vivo Delivery Methods for Genome Editing-Based Therapies.,Molecular biotechnology,2025,paywalled,corpus/by-pmid/38363528.md
39614090,incomplete,The changing treatment landscape of EGFR-mutant non-small-cell lung cancer.,Nature reviews. Clinical oncology,2025,paywalled,corpus/by-pmid/39614090.md
39617017,incomplete,"Safety and activity of CTX130, a CD70-targeted allogeneic CRISPR-Cas9-engineered CAR T-cell therapy, in patients with relapsed or refractory T-cell malignancies (COBALT-LYM): a single-arm, open-label, phase 1, dose-escalation study.",The Lancet. Oncology,2025,open access,corpus/by-pmid/39617017.md
39627502,incomplete,Synthetic lethal strategies for the development of cancer therapeutics.,Nature reviews. Clinical oncology,2025,paywalled,corpus/by-pmid/39627502.md
39798545,incomplete,Clinical advances of mRNA vaccines for cancer immunotherapy.,"Med (New York, N.Y.)",2025,paywalled,corpus/by-pmid/39798545.md
39826543,incomplete,Hyperacute rejection-engineered oncolytic virus for interventional clinical trial in refractory cancer patients.,Cell,2025,open access,corpus/by-pmid/39826543.md
40108464,incomplete,Oncolytic virus VG161 in refractory hepatocellular carcinoma.,Nature,2025,paywalled,corpus/by-pmid/40108464.md
41872128,missing_file,,,,missing_file,corpus/by-pmid/41872128.md
