pmid,sample_mechanism,sample_bucket,predicted_evidence_level,title,year,journal,pub_types,mechanisms,abstract_excerpt,gold_evidence_level,gold_label_status,gold_notes
30506499,ttfields,predicted-tagged,phase3-clinical,Increased compliance with tumor treating fields therapy is prognostic for improved survival in the treatment of glioblastoma: a subgroup analysis of the EF-14 phase III trial.,2019,Journal of neuro-oncology,Journal Article,ttfields,"**background**: tumor treating fields (ttfields) is a non-invasive, antimitotic therapy. in the ef-14 phase 3 trial in newly diagnosed glioblastoma, ttfields plus temozolomide (ttfields/tmz) improved progression free (pfs) and overall survival (os) versus tmz alone. previous data indicate a ≥ 75% daily compliance improves outcomes. we analyzed compliance data from ttfields/tmz patients in the ef-14 study to correlate ttfields compliance with pfs and os and identify potential lower boundary for c...",,pending,
32666048,ttfields,predicted-tagged,phase3-clinical,Current usage of tumor treating fields for glioblastoma.,2020,Neuro-oncology advances,Journal Article,ttfields,"**background**: tumor treating fields (ttf) have entered clinical practice for newly diagnosed and recurrent glioblastoma (ggm). however, controversies remain unresolved with regard to appropriate usage. we sought to determine ttf usage in major academic neuro-oncology programs in new york city, usa and heidelberg, germany and understand current attitudes toward ttf usage among providers. **methods**: we retrospectively determined ttf usage among patients with ggm, before and since the publicati...",,pending,
36358594,ttfields,predicted-tagged,preclinical-invivo,Glioblastoma-Derived Three-Dimensional Ex Vivo Models to Evaluate Effects and Efficacy of Tumor Treating Fields (TTFields).,2022,Cancers,Journal Article,ttfields,"glioblastoma (gbm) displays a wide range of inter- and intra-tumoral heterogeneity contributing to therapeutic resistance and relapse. although tumor treating fields (ttfields) are effective for the treatment of gbm, there is a lack of ex vivo models to evaluate effects on patients' tumor biology or to screen patients for treatment efficacy. thus, we adapted patient-derived three-dimensional tissue culture models to be compatible with ttfields application to tissue culture. patient-derived prima...",,pending,
37213481,ttfields,predicted-tagged,theoretical,Computational Analysis of Tumor Treating Fields for Non-Small Cell Lung Cancer in Full Thoracic Models.,2023,Advances in radiation oncology,Journal Article,ttfields,"**purpose**: tumor treating fields (ttfields) are alternating electric fields at 150 to 200 khz that exert their anticancer effect by destroying tumor cells when they undergo mitosis. ttfields are currently being tested in patients with non-small cell lung cancer with advanced disease (nct02973789) and those with brain metastasis (nct02831959). however, the distribution of these fields within the thoracic compartment remains poorly understood. **methods and materials**: using positron emission t...",,pending,
25620708,ttfields,predicted-untagged,,Clinical benefit in recurrent glioblastoma from adjuvant NovoTTF-100A and TCCC after temozolomide and bevacizumab failure: a preliminary observation.,2015,Cancer medicine,"Journal Article | Research Support, Non-U.S. Gov't",ttfields,"the novottf-100a is a device that emits alternating electric fields and it is approved for the treatment of recurrent glioblastoma. it works by perturbing tumor cells during mitosis as they enter anaphase leading to aneuploidy, asymmetric chromosome segregation and cell death with evidence of increased immunogenicity. clinical trial data have shown equivalent efficacy when compared to salvage chemotherapies in recurrent disease. responders were found to have had a lower dexamethasone usage and a...",,pending,
29471879,ttfields,predicted-untagged,,Dosimetric impact of tumor treating field (TTField) transducer arrays onto treatment plans for glioblastomas - a planning study.,2018,"Radiation oncology (London, England)",Journal Article,ttfields,"**background**: tumor-treating fields (ttfields) are a novel treatment strategy for glioblastoma (gbm) that is approved for the use concomitantly to adjuvant chemotherapy. preclinical data suggest a synergistic interaction of ttfields and radiotherapy (rt). however, the dosimetric uncertainties caused by the highly dense arrays have led to caution of applying the ttf setup during rt. **methods**: in a rw3 slab phantom we compared the mv- and kv-ct based planned dose with the measured dose. vmat-...",,pending,
35426370,ttfields,predicted-untagged,,Tumor Treating Fields: killing two birds with one stone.,2022,The Journal of clinical investigation,Journal Article | Comment,ttfields,"given its aggressive natural history and immunosuppressive nature, glioblastoma (gbm) remains difficult to treat. tumor treating fields (ttfields) are a promising treatment for gbm patients, yet the entirety of their antitumor action has not been fully elucidated. in a recent issue of the jci, chen et al. explored the effect of ttfields in reinvigorating immune responses. by elegant step-by-step approaches, the authors demonstrated that ttfields promote the production of immune-stimulating proin...",,pending,
35821680,ttfields,predicted-untagged,,Molecular alterations associated with improved outcome in patients with glioblastoma treated with Tumor-Treating Fields.,2022,Neuro-oncology advances,Journal Article,ttfields,"**background**: the genomic and overall biologic landscape of glioblastoma (gb) has become clearer over the past 2 decades, as predictive and prognostic biomarkers of both de novo and transformed forms of gb have been identified. the oral chemotherapeutic agent temozolomide (tmz) has been integral to standard-of-care treatment for nearly 2 decades. more recently, the use of non-pharmacologic interventions, such as application of alternating electric fields, called tumor-treating fields (ttfields...",,pending,
36483066,ttfields,predicted-untagged,,Modulation of Tumor-Treating Fields by Cerebral Edema from Brain Tumors.,2023,Advances in radiation oncology,Journal Article,ttfields,"**purpose**: cerebral edema is an important component of brain metastasis, and its presence may alter the distribution of tumor-treating fields (ttfields). we therefore performed a computational study to model the extent of this alteration according to various edema conditions associated with the metastasis. **methods and materials**: postacquisition magnetic resonance imaging data sets were obtained from 2 patients with solitary brain metastases from non-small cell lung cancer. after delineatio...",,pending,
36741707,ttfields,predicted-untagged,,Eighteen years' experience with tumor treating fields in the treatment of newly diagnosed glioblastoma.,2022,Frontiers in oncology,Journal Article,ttfields,"**introduction**: the prognosis of glioblastoma remains unfavorable. ttfields utilize low intensity electric fields (frequency 150-300 khz) that disrupt cellular processes critical for cancer cell viability and tumor progression. ttfields are delivered via transducer arrays placed on the patients' scalp. methods: between the years 2004 and 2022, 55 patients (20 female), aged 21.9-77.8 years (mean age 47.3±11.8 years; median 47.6 years) were treated with ttfields for newly-diagnosed gbm, and comp...",,pending,
37335714,ttfields,predicted-untagged,,Characteristics and management of tumor treating fields-related dermatological complications in patients with glioblastoma.,2023,Medicine,Journal Article,ttfields,"tumor treating fields (ttfields) is a novel approved modality for the treatment of glioblastoma (gbm) exhibiting a satisfactory effect. although ttfields has shown considerable safety for the normal brain, dermatological adverse events (daes) often occur during therapy. however, studies focused on the identification and management of daes are rare. the clinical data and photos of skin lesions from 9 patients with gbm were retrospectively analyzed, and the types and grades of individual scalp der...",,pending,
40067514,ttfields,predicted-untagged,,Impact of alternating electric fields therapy for newly diagnosed WHO grade 4 astrocytoma on patient survival: a real-world propensity-score adjusted prospective multicenter study.,2025,Journal of neuro-oncology,Journal Article | Multicenter Study,ttfields,"**purpose**: alternating electric fields (aef) therapy in addition to temozolomide chemoradiotherapy (tmz crt) is increasingly being recommended as first-line treatment for patients with newly-diagnosed who grade 4 astrocytoma. however, few have validated this treatment with real-world evidence. **methods**: consecutive adult patients with newly-diagnosed who grade 4 astrocytoma treated with adjuvant tmz crt across all neuro-oncology centers in hong kong were reviewed. identified from a territor...",,pending,
40175974,ttfields,predicted-untagged,,Impact of transducer arrays on deep-seated dosimetry in radiotherapy with concurrent TTFields for glioblastoma (extreme analysis).,2025,BMC cancer,Journal Article,ttfields,"**objective**: to study the impact of transducer arrays on the deep-seated dosimetry of radiotherapy with concurrent tumor treating fields (ttfields) for glioblastoma. **methods**: firstly, the covering style of transducer arrays to cirs-038 phantom was designed to simulate the ""extreme situation"": four arrays were attached to the phantom as a style similar with that in clinical scene and, meanwhile, to assure that layer of interest of cirs-038 was surrounded by twelve electrodes (three in each ...",,pending,
40404987,ttfields,predicted-untagged,,Distant parenchymal recurrence during long-term use of TTFields treatment for glioblastoma.,2025,International journal of clinical oncology,Journal Article,ttfields,"**background**: tumor treating fields (ttfields) treatment has been an important option for the treatment of glioblastoma. the introduction of novel treatment options may lead to distinct recurrence patterns compared to those observed with conventional therapies; however, the specific recurrence pattern during ttfields treatment has not been elucidated. **methods and results**: here, we analyzed 39 cases of glioblastoma treated with ttfields. although a usage rate of more than 75% is recommended...",,pending,
30889466,synthetic-lethality,predicted-tagged,preclinical-invitro,Nitric oxide-donor/PARP-inhibitor combination: A new approach for sensitization to ionizing radiation.,2019,Redox biology,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",synthetic-lethality,"recently, clinical development of parp inhibitors (parpi) expanded from using them as a single agent to combining them with dna-damaging therapy to derive additional therapeutic benefit from stimulated dna damage. furthermore, inhibiting parp in cancers with brca1/2 mutations has been shown to be an effective synthetic lethality approach either as a single agent or in combination with the different dna damaging agents: chemotherapy or ionizing radiation (ir). however, inherited brca1/2 mutations...",,pending,
35715861,synthetic-lethality,predicted-tagged,preclinical-invivo,Combined inhibition of EZH2 and ATM is synthetic lethal in BRCA1-deficient breast cancer.,2022,Breast cancer research : BCR,"Journal Article | Research Support, Non-U.S. Gov't",synthetic-lethality,"**background**: the majority of brca1-mutant breast cancers are characterized by a triple-negative phenotype and a basal-like molecular subtype, associated with aggressive clinical behavior. current treatment options are limited, highlighting the need for the development of novel targeted therapies for this tumor subtype. **methods**: our group previously showed that ezh2 is functionally relevant in brca1-deficient breast tumors and blocking ezh2 enzymatic activity could be a potent treatment st...",,pending,
36865165,synthetic-lethality,predicted-tagged,preclinical-invivo,Combinatory EHMT and PARP inhibition induces an interferon response and a CD8 T cell-dependent tumor regression in PARP inhibitor-resistant models.,2023,bioRxiv : the preprint server for biology,Preprint | Journal Article,epigenetic | synthetic-lethality,"euchromatic histone lysine methyltransferases 1 and 2 (ehmt1/2), which catalyze demethylation of histone h3 lysine 9 (h3k9me2), contribute to tumorigenesis and therapy resistance through unknown mechanisms of action. in ovarian cancer, ehmt1/2 and h3k9me2 are directly linked to acquired resistance to poly-adp-ribose polymerase (parp) inhibitors and are correlated with poor clinical outcomes. using a combination of experimental and bioinformatic analyses in several parp inhibitor resistant ovaria...",,pending,
38036782,synthetic-lethality,predicted-tagged,phase1-clinical,The chemotherapeutic drug CX-5461 is a potent mutagen in cultured human cells.,2024,Nature genetics,Journal Article,synthetic-lethality,"the chemotherapeutic agent cx-5461, or pidnarulex, has been fast-tracked by the united states food and drug administration for early-stage clinical studies of brca1-, brca2- and palb2-mutated cancers. it is under investigation in phase i and ii trials. here, we find that, although cx-5461 exhibits synthetic lethality in brca1-/brca2-deficient cells, it also causes extensive, nonselective, collateral mutagenesis in all three cell lines tested, to magnitudes that exceed known environmental carcino...",,pending,
38043609,synthetic-lethality,predicted-tagged,preclinical-invivo,An interpretable artificial intelligence framework for designing synthetic lethality-based anti-cancer combination therapies.,2024,Journal of advanced research,Journal Article,synthetic-lethality,"**introduction**: synthetic lethality (sl) provides an opportunity to leverage different genetic interactions when designing synergistic combination therapies. to further explore sl-based combination therapies for cancer treatment, it is important to identify and mechanistically characterize more sl interactions. artificial intelligence (ai) methods have recently been proposed for sl prediction, but the results of these models are often not interpretable such that deriving the underlying mechani...",,pending,
38330461,synthetic-lethality,predicted-tagged,clinical-other,Methylthioadenosine Phosphorylase Genomic Loss in Advanced Gastrointestinal Cancers.,2024,The oncologist,Journal Article,immunotherapy | synthetic-lethality,"**background**: one of the most common sporadic homozygous deletions in cancers is 9p21 loss, which includes the genes methylthioadenosine phosphorylase (mtap), cdkn2a, and cdkn2b, and has been correlated with worsened outcomes and immunotherapy resistance. mtap-loss is a developing drug target through synthetic lethality with mat2a and pmrt5 inhibitors. the purpose of this study is to investigate the prevalence and genomic landscape of mtap-loss in advanced gastrointestinal (gi) tumors and inve...",,pending,
38630886,synthetic-lethality,predicted-tagged,preclinical-invivo,"LP-184, a Novel Acylfulvene Molecule, Exhibits Anticancer Activity against Diverse Solid Tumors with Homologous Recombination Deficiency.",2024,Cancer research communications,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",synthetic-lethality,"**unlabelled**: homologous recombination (hr)-related gene alterations are present in a significant subset of prostate, breast, ovarian, pancreatic, lung, and colon cancers rendering these tumors as potential responders to specific dna damaging agents. a small molecule acylfulvene prodrug, lp-184, metabolizes to an active compound by the oxidoreductase activity of enzyme prostaglandin reductase 1 (ptgr1), which is frequently elevated in multiple solid tumor types. prior work demonstrated that ca...",,pending,
39305483,synthetic-lethality,predicted-tagged,preclinical-invitro,Multivariate analysis of metabolic state vulnerabilities across diverse cancer contexts reveals synthetically lethal associations.,2024,Cell reports,Journal Article,metabolic-targeting | synthetic-lethality,"targeting the distinct metabolic needs of tumor cells has recently emerged as a promising strategy for cancer therapy. the heterogeneous, context-dependent nature of cancer cell metabolism, however, poses challenges to identifying effective therapeutic interventions. here, we utilize various unsupervised and supervised multivariate modeling approaches to systematically pinpoint recurrent metabolic states within hundreds of cancer cell lines, elucidate their association with tumor lineage and gro...",,pending,
40038300,synthetic-lethality,predicted-tagged,preclinical-invivo,Inhibition of the STAT3/Fanconi anemia axis is synthetic lethal with PARP inhibition in breast cancer.,2025,Nature communications,Journal Article,synthetic-lethality,"the targeting of cancer stem cells (cscs) has proven to be an effective approach for limiting tumor progression, thus necessitating the identification of new drugs with anti-csc activity. through a high-throughput drug repositioning screen, we identify the antibiotic nifuroxazide (nif) as a potent anti-csc compound. utilizing a click chemistry strategy, we demonstrate that nif is a prodrug that is specifically bioactivated in breast cscs. mechanistically, nif-induced csc death is a result of a s...",,pending,
40308947,synthetic-lethality,predicted-tagged,preclinical-invitro,Synergistic enhancement of PARP inhibition via small molecule UNI66-mediated suppression of BRD4-dependent transcription of RAD51 and CtIP.,2025,NAR cancer,Journal Article,synthetic-lethality,"targeted therapy leveraging synthetic lethality in homologous recombination (hr)-defective tumors, particularly in brca-mutated tumors through poly(adp-ribose) polymerase (parp)-dependent repair inhibition, has shown success. however, the challenge lies in the ability of the tumors to reactivate hr via diverse mechanisms, leading to resistance against parp-dependent repair inhibition. addressing this issue, the down-regulation of hr activity has been explored as a potential strategy to overcome ...",,pending,
30101194,synthetic-lethality,predicted-untagged,,Tousled-like kinases stabilize replication forks and show synthetic lethality with checkpoint and PARP inhibitors.,2018,Science advances,"Journal Article | Research Support, Non-U.S. Gov't",synthetic-lethality,"dna sequence and epigenetic information embedded in chromatin must be faithfully duplicated and transmitted to daughter cells during cell division. however, how chromatin assembly and dna replication are integrated remains unclear. we examined the contribution of the tousled-like kinases 1 and 2 (tlk1/tlk2) to chromatin assembly and maintenance of replication fork integrity. we show that tlk activity is required for dna replication and replication-coupled nucleosome assembly and that lack of tlk...",,pending,
33167404,synthetic-lethality,predicted-untagged,,"PARP Inhibitor Olaparib Causes No Potentiation of the Bleomycin Effect in VERO Cells, Even in the Presence of Pooled ATM, DNA-PK, and LigIV Inhibitors.",2020,International journal of molecular sciences,Journal Article,synthetic-lethality,"poly(adp-ribosyl)polymerase (parp) synthesizes poly(adp-ribose) (par), which is anchored to proteins. par facilitates multiprotein complexes' assembly. nuclear par affects chromatin's structure and functions, including transcriptional regulation. in response to stress, particularly genotoxic stress, parp activation facilitates dna damage repair. the parp inhibitor olaparib (ola) displays synthetic lethality with mutated homologous recombination proteins (brca-1/2), base excision repair proteins ...",,pending,
34469736,synthetic-lethality,predicted-untagged,,Discovery of synthetic lethal and tumor suppressor paralog pairs in the human genome.,2021,Cell reports,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't | Research Support, U.S. Gov't, Non-P.H.S.",crispr | synthetic-lethality,"crispr screens have accelerated the discovery of important cancer vulnerabilities. however, single-gene knockout phenotypes can be masked by redundancy among related genes. paralogs constitute two-thirds of the human protein-coding genome, so existing methods are likely inadequate for assaying a large portion of gene function. here, we develop paired guide rnas for paralog genetic interaction mapping (pgpen), a pooled crispr-cas9 single- and double-knockout approach targeting more than 2,000 hum...",,pending,
35921524,synthetic-lethality,predicted-untagged,,"Identification of a Molecularly-Defined Subset of Breast and Ovarian Cancer Models that Respond to WEE1 or ATR Inhibition, Overcoming PARP Inhibitor Resistance.",2022,Clinical cancer research : an official journal of the American Association for Cancer Research,"Journal Article | Research Support, Non-U.S. Gov't | Research Support, N.I.H., Extramural",synthetic-lethality,"**purpose**: parp inhibitors (parpi) induce synthetic lethality in homologous recombination repair (hrr)-deficient tumors and are used to treat breast, ovarian, pancreatic, and prostate cancers. multiple parpi resistance mechanisms exist, most resulting in restoration of hrr and protection of stalled replication forks. atr inhibition was highlighted as a unique approach to reverse both aspects of resistance. recently, however, a parpi/wee1 inhibitor (wee1i) combination demonstrated enhanced anti...",,pending,
36180906,synthetic-lethality,predicted-untagged,,A genetic map of the chromatin regulators to drug response in cancer cells.,2022,Journal of translational medicine,"Journal Article | Research Support, Non-U.S. Gov't",crispr | epigenetic | synthetic-lethality,"**background**: diverse drug vulnerabilities owing to the chromatin regulators (crs) genetic interaction across various cancers, but the identification of crs genetic interaction remains challenging. **methods**: in order to provide a global view of the crs genetic interaction in cancer cells, we developed a method to identify potential drug response-related crs genetic interactions for specific cancer types by integrating the screen of crispr-cas9 and pharmacogenomic response datasets. **result...",,pending,
37105990,synthetic-lethality,predicted-untagged,,Pathway choice in the alternative telomere lengthening in neoplasia is dictated by replication fork processing mediated by EXD2's nuclease activity.,2023,Nature communications,"Journal Article | Research Support, Non-U.S. Gov't",synthetic-lethality,"telomerase-independent cancer proliferation via the alternative lengthening of telomeres (alt) relies upon two distinct, largely uncharacterized, break-induced-replication (bir) processes. how cancer cells initiate and regulate these terminal repair mechanisms is unknown. here, we establish that the exd2 nuclease is recruited to alt telomeres to direct their maintenance. we demonstrate that exd2 loss leads to telomere shortening, elevated telomeric sister chromatid exchanges, c-circle formation ...",,pending,
38509368,synthetic-lethality,predicted-untagged,,Transcription-replication conflicts underlie sensitivity to PARP inhibitors.,2024,Nature,Journal Article,synthetic-lethality,"an important advance in cancer therapy has been the development of poly(adp-ribose) polymerase (parp) inhibitors for the treatment of homologous recombination (hr)-deficient cancers1-6. parp inhibitors trap parps on dna. the trapped parps are thought to block replisome progression, leading to formation of dna double-strand breaks that require hr for repair7. here we show that parp1 functions together with timeless and tipin to protect the replisome in early s phase from transcription-replication...",,pending,
40033056,synthetic-lethality,predicted-untagged,,The transcriptomic architecture of common cancers reflects synthetic lethal interactions.,2025,Nature genetics,Journal Article,synthetic-lethality,"to maintain cell fitness, deleterious genetic alterations are buffered by compensatory changes in additional genes. in cancer, buffering processes could be targeted by synthetic lethality. however, despite the large-scale identification of synthetic lethal effects in preclinical models, evidence that these operate clinically is limited. this impedes the application of synthetic lethal approaches. by integrating molecular profiling data from >9,000 cancers with synthetic lethal screens, we show t...",,pending,
40091075,synthetic-lethality,predicted-untagged,,Investigating synthetic lethality and PARP inhibitor resistance in pancreatic cancer through enantiomer differential activity.,2025,Cell death discovery,Journal Article,synthetic-lethality,"the rad51-brca2 interaction is central to dna repair through homologous recombination. emerging evidence indicates rad51 overexpression and its correlation with chemoresistance in various cancers, suggesting rad51-brca2 inhibition as a compelling avenue for intervention. we previously showed that combining olaparib (a parp inhibitor (parpi)) with rs-35d (a brca2-rad51 inhibitor) was efficient in killing pancreatic ductal adenocarcinoma (pdac) cells. however, rs-35d impaired cell viability even w...",,pending,
41112293,synthetic-lethality,predicted-untagged,,Integrative multidimensional analysis of age-associated synthetic lethal genes and development of a prognostic model in breast cancer.,2025,Frontiers in immunology,Journal Article,synthetic-lethality,"**background**: breast cancer (brca) is the most common malignancy and leading cause of mortality among women, with rising incidence in younger patients. although treatments have advanced, outcomes for advanced brca remain poor. synthetic lethality (sl) offers promise in precision oncology, but resistance limits its benefit. **methods**: we integrated tcga-brca and geo datasets with sl gene sets to identify candidate genes. differential expression analysis and wgcna were performed, with key modu...",,pending,
